Player,Att,Cmp,Yds,Tds,INTs,"Rush Att","Rush Yds","Rush Tds",Fumbles,Points
"Cam Newton CAR",499.1,298.9,3720.4,27.1,12,121.4,625.7,6.9,3.6,330.2
"Aaron Rodgers GB",562.9,357.2,4228.1,34.8,7.7,54.1,272.9,2,3.1,326.3
"Russell Wilson SEA",478.3,308.9,3791,28.9,10.8,106.2,577.9,3.2,2.8,316.6
"Andrew Luck IND",620.8,366.6,4273.8,32.7,17.3,60.9,286.4,2.2,3.7,301.8
"Drew Brees NO",641.4,431.5,4812.3,31.5,14.5,25.1,40.9,1,3.3,293.1
"Ben Roethlisberger PIT",583.7,383,4627.8,29.5,14.2,27.1,63.2,0.8,2.4,281.3
"Carson Palmer ARI",566.1,355.4,4430.4,30.4,13.9,26.3,56,0.7,3.6,273.5
"Blake Bortles JAC",564.7,331.9,3959.2,28.4,17.6,55.3,312.6,1.9,4.1,271.1
"Tyrod Taylor BUF",461.7,284.2,3387.9,21,10.8,103,536.7,3.5,2.5,267.5
"Philip Rivers SD",620.6,405.6,4529.7,28.9,15.6,24.4,50.4,0.2,3.1,265.8
"Eli Manning NYG",602.3,376.6,4346.2,29.7,14.6,20.5,62.7,0.5,3.6,265.5
"Andy Dalton CIN",510.3,324.8,3866.7,25.6,12.6,66.1,189.4,2.6,3.5,259.3
"Kirk Cousins WAS",553.7,360.4,4188,26.4,15.1,30.4,82.2,2.6,4.1,258.3
"Matthew Stafford DET",581.8,373.3,4199.8,25.8,14,36.3,126.5,1.4,3.6,256.9
"Jameis Winston TB",535.9,321,3937.6,23.5,15.4,52.3,210,3.6,3.5,256.5
"Tony Romo DAL",522.4,345.2,3948.2,29.1,13,24.9,69.6,0.6,3,252.8
"Derek Carr OAK",589.4,357.6,3950.7,28.4,13.9,30.9,116.5,0.7,3.7,252.3
"Ryan Fitzpatrick NYJ",548.6,325,3719.5,24.7,15.5,61,266.6,2.2,2.4,251.3
"Ryan Tannehill MIA",583.4,363.2,4097.7,24.2,13.7,41,179.6,1,3.4,250.3
"Matt Ryan ATL",607.1,401.3,4472.4,25,15.6,33.6,75.9,0.3,3.9,249.4
"Alex Smith KC",479.4,306.3,3411,21.4,9.4,72.4,398.2,1.8,2.8,248.7
"Marcus Mariota TEN",495.2,306.8,3562.1,20.8,14.5,58.6,375.3,3.1,4.1,244.7
"Joe Flacco BAL",592.9,362.5,4053.1,24.4,15.3,29.6,61,1.7,3.3,238.9
"Tom Brady NE",471.9,301.2,3443.1,25.8,7,26.5,49,1.4,1.9,236.4
