"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","David Johnson","ARI","8","1","2","1.2","0.4","1.0","0.0"
"2","Le'Veon Bell","PIT","9","1","3","1.8","0.4","2.0","0.0"
"3","LeSean McCoy","BUF","6","2","9","3.6","1.1","3.0","0.0"
"4","Melvin Gordon","LAC","9","3","10","4.6","1.3","5.0","+1.0"
"5","Devonta Freeman","ATL","5","3","11","5.3","1.5","4.0","-1.0"
"6","Jay Ajayi","MIA","11","3","13","6.6","1.8","8.0","+2.0"
"7","Jordan Howard","CHI","9","4","12","6.9","1.6","7.0","0.0"
"8","DeMarco Murray","TEN","8","3","15","7.5","1.9","6.0","-2.0"
"9","Todd Gurley","LAR","8","4","17","9.8","2.2","10.0","+1.0"
"10","Leonard Fournette","JAC","8","5","25","11.7","3.2","11.0","+1.0"
"11","Ezekiel Elliott","DAL","6","3","36","12.3","4.8","9.0","-2.0"
"12","Isaiah Crowell","CLE","9","6","22","12.7","2.7","15.0","+3.0"
"13","Lamar Miller","HOU","7","5","23","13.4","3.4","13.0","0.0"
"14","Marshawn Lynch","OAK","10","7","36","15.6","4.2","12.0","-2.0"
"15","Carlos Hyde","SF","11","9","34","16.1","3.7","17.0","+2.0"
"16","Dalvin Cook","MIN","9","8","44","16.9","5.8","16.0","0.0"
"17","Ty Montgomery","GB","8","9","54","18.8","5.8","20.0","+3.0"
"18","Christian McCaffrey","CAR","11","6","37","19.1","5.4","14.0","-4.0"
"19","Joe Mixon","CIN","6","9","49","19.2","6.0","18.0","-1.0"
"20","C.J. Anderson","DEN","5","11","42","21.2","5.0","21.0","+1.0"
"21","Mark Ingram","NO","5","13","40","21.5","4.5","22.0","+1.0"
"22","Ameer Abdullah","DET","7","16","44","24.5","4.7","24.0","+2.0"
"23","Bilal Powell","NYJ","11","14","43","25.2","5.5","28.0","+5.0"
"24","Mike Gillislee","NE","9","15","42","26.0","5.3","25.0","+1.0"
"25","Tevin Coleman","ATL","5","14","40","26.8","4.9","23.0","-2.0"
"26","Frank Gore","IND","11","13","49","27.0","6.0","33.0","+7.0"
"27","Spencer Ware","KC","10","13","68","28.4","13.3","19.0","-8.0"
"28","Adrian Peterson","NO","5","10","53","30.4","6.3","26.0","-2.0"
"29","Danny Woodhead","BAL","10","14","61","31.1","7.0","32.0","+3.0"
"30","Paul Perkins","NYG","8","18","66","30.9","6.5","30.0","0.0"
"31","Doug Martin","TB","11","18","58","31.4","7.3","27.0","-4.0"
"32","Terrance West","BAL","10","11","68","32.7","7.8","37.0","+5.0"
"33","LeGarrette Blount","PHI","10","17","49","33.1","6.9","29.0","-4.0"
"34","Eddie Lacy","SEA","6","18","56","34.0","8.7","35.0","+1.0"
"35","Kareem Hunt","KC","10","8","54","33.6","10.1","36.0","+1.0"
"36","Robert Kelley","WAS","5","12","52","33.9","7.0","34.0","-2.0"
"37","Derrick Henry","TEN","8","24","65","36.0","6.3","31.0","-6.0"
"38","Jonathan Stewart","CAR","11","16","51","36.2","6.0","39.0","+1.0"
"39","Theo Riddick","DET","7","23","60","40.3","5.7","41.0","+2.0"
"40","Matt Forte","NYJ","11","12","60","41.0","7.4","44.0","+4.0"
"41","Duke Johnson","CLE","9","24","67","42.5","6.2","45.0","+4.0"
"42","Darren McFadden","DAL","6","21","83","46.5","14.3","38.0","-4.0"
"43","Thomas Rawls","SEA","6","25","62","43.2","7.1","40.0","-3.0"
"44","Samaje Perine","WAS","5","31","82","46.1","8.9","42.0","-2.0"
"45","C.J. Prosise","SEA","6","28","65","45.7","7.0","51.0","+6.0"
"46","Jeremy Hill","CIN","6","21","76","47.1","7.6","50.0","+4.0"
"47","Darren Sproles","PHI","10","28","77","48.1","8.5","52.0","+5.0"
"48","Jacquizz Rodgers","TB","11","24","67","48.2","8.1","43.0","-5.0"
"49","James White","NE","9","30","83","48.0","8.2","48.0","-1.0"
"50","Jamaal Williams","GB","8","25","84","49.2","9.8","46.0","-4.0"
"51","Latavius Murray","MIN","9","25","73","49.6","8.7","47.0","-4.0"
"52","Rex Burkhead","NE","9","26","92","52.2","10.8","54.0","+2.0"
"53","Giovani Bernard","CIN","6","32","72","51.0","7.1","58.0","+5.0"
"54","Jamaal Charles","DEN","5","32","88","54.3","9.0","49.0","-5.0"
