"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","Rob Gronkowski","NE","9","1","11","1.2","1.1","1.0","0.0"
"2","Travis Kelce","KC","10","1","5","2.1","0.5","2.0","0.0"
"3","Greg Olsen","CAR","11","2","7","3.7","1.1","3.0","0.0"
"4","Jordan Reed","WAS","5","2","12","4.1","1.5","4.0","0.0"
"5","Jimmy Graham","SEA","6","2","10","5.0","1.4","5.0","0.0"
"6","Tyler Eifert","CIN","6","3","12","6.5","1.7","6.0","0.0"
"7","Kyle Rudolph","MIN","9","4","14","7.7","1.8","7.0","0.0"
"8","Delanie Walker","TEN","8","1","13","8.4","2.1","9.0","+1.0"
"9","Zach Ertz","PHI","10","4","23","9.3","2.6","10.0","+1.0"
"10","Martellus Bennett","GB","8","5","16","9.6","2.2","8.0","-2.0"
"11","Hunter Henry","LAC","9","5","21","11.4","2.5","11.0","0.0"
"12","Eric Ebron","DET","7","7","20","11.7","2.5","13.0","+1.0"
"13","Jack Doyle","IND","11","7","31","13.2","3.1","12.0","-1.0"
"14","Coby Fleener","NO","5","10","26","15.5","3.2","16.0","+2.0"
"15","Austin Hooper","ATL","5","7","26","16.6","3.5","17.0","+2.0"
"16","Jason Witten","DAL","6","8","26","17.0","2.9","15.0","-1.0"
"17","Cameron Brate","TB","11","10","37","17.4","4.2","19.0","+2.0"
"18","Julius Thomas","MIA","11","11","29","18.6","3.6","20.0","+2.0"
"19","C.J. Fiedorowicz","HOU","7","10","31","19.4","4.0","27.0","+8.0"
"20","Antonio Gates","LAC","9","11","28","19.4","3.3","22.0","+2.0"
"21","O.J. Howard","TB","11","9","39","23.0","5.3","14.0","-7.0"
"22","Charles Clay","BUF","6","14","34","24.0","4.5","29.0","+7.0"
"23","Jared Cook","OAK","10","12","33","23.0","3.9","18.0","-5.0"
"24","Evan Engram","NYG","8","15","35","23.9","4.1","23.0","-1.0"
"25","Zach Miller","CHI","9","15","43","27.0","5.9","31.0","+6.0"
"26","Dwayne Allen","NE","9","13","41","26.4","5.0","21.0","-5.0"
"27","Jesse James","PIT","9","11","46","26.9","5.1","26.0","-1.0"
"28","David Njoku","CLE","9","16","36","25.0","3.6","25.0","-3.0"
"29","Austin Seferian-Jenkins","NYJ","11","17","41","26.9","5.2","28.0","-1.0"
"30","Tyler Higbee","LAR","8","15","52","31.6","5.8","",""
"31","Jermaine Gresham","ARI","8","19","42","32.2","4.9","",""
"32","Benjamin Watson","BAL","10","19","59","31.2","6.8","",""
"33","Vance McDonald","SF","11","20","55","32.1","5.7","24.0","-9.0"
"34","Mychal Rivera","JAC","8","20","55","44.9","8.5","",""
"35","Vernon Davis","WAS","5","21","41","32.1","4.2","33.0","-2.0"
"36","Erik Swoope","IND","11","24","49","32.4","5.0","32.0","-4.0"
"37","Gerald Everett","LAR","8","25","62","36.8","8.0","",""
"38","Ladarius Green","FA","","23","59","36.8","7.9","30.0","-8.0"
"39","A.J. Derby","DEN","5","26","60","37.8","7.2","",""
"40","Ryan Griffin","HOU","7","30","53","38.2","5.4","",""
"41","Dion Sims","CHI","9","22","66","39.5","9.4","",""
"42","George Kittle","SF","11","25","90","40.0","10.7","35.0","-7.0"
"43","Maxx Williams","BAL","10","22","81","40.6","11.1","",""
"44","Seth DeValve","CLE","9","31","68","41.9","8.8","",""
"45","Nick Boyle","BAL","10","28","60","42.1","11.4","",""
"46","Marcedes Lewis","JAC","8","31","54","42.1","5.4","",""
"47","Josh Hill","NO","5","31","52","42.2","5.0","",""
