"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","Antonio Brown","PIT","9","1","3","1.1","0.3","1.0","0.0"
"2","Julio Jones","ATL","5","1","6","2.6","1.0","2.0","0.0"
"3","Odell Beckham Jr.","NYG","8","1","7","2.9","1.0","3.0","0.0"
"4","Mike Evans","TB","11","2","9","4.6","1.1","4.0","0.0"
"5","A.J. Green","CIN","6","1","14","4.7","1.4","5.0","0.0"
"6","Jordy Nelson","GB","8","2","9","5.5","1.2","6.0","0.0"
"7","Michael Thomas","NO","5","4","11","7.3","1.2","7.0","0.0"
"8","Dez Bryant","DAL","6","5","16","8.8","1.9","8.0","0.0"
"9","T.Y. Hilton","IND","11","6","18","10.2","2.4","9.0","0.0"
"10","Amari Cooper","OAK","10","7","28","10.7","2.5","10.0","0.0"
"11","Doug Baldwin","SEA","6","7","29","11.2","3.0","11.0","0.0"
"12","Brandin Cooks","NE","9","7","37","13.0","4.8","12.0","0.0"
"13","DeAndre Hopkins","HOU","7","7","22","14.1","2.9","13.0","0.0"
"14","Demaryius Thomas","DEN","5","9","29","14.6","3.0","15.0","+1.0"
"15","Terrelle Pryor","WAS","5","8","34","16.5","4.2","14.0","-1.0"
"16","Alshon Jeffery","PHI","10","10","33","17.4","4.0","16.0","0.0"
"17","Allen Robinson","JAC","8","9","32","17.8","4.7","19.0","+2.0"
"18","Davante Adams","GB","8","10","36","19.4","4.7","18.0","0.0"
"19","Keenan Allen","LAC","9","9","40","19.6","5.0","17.0","-2.0"
"20","Michael Crabtree","OAK","10","13","34","19.8","3.5","21.0","+1.0"
"21","Sammy Watkins","LAR","8","11","54","23.3","6.5","23.0","+2.0"
"22","Golden Tate","DET","7","13","39","24.4","4.9","26.0","+4.0"
"23","Tyreek Hill","KC","10","5","54","24.7","6.5","20.0","-3.0"
"24","Larry Fitzgerald","ARI","8","6","42","24.9","5.0","27.0","+3.0"
"25","Martavis Bryant","PIT","9","13","47","24.9","6.6","25.0","0.0"
"26","Emmanuel Sanders","DEN","5","17","49","25.8","5.0","28.0","+2.0"
"27","Jarvis Landry","MIA","11","11","42","27.6","6.1","22.0","-5.0"
"28","Kelvin Benjamin","CAR","11","12","45","28.4","6.1","24.0","-4.0"
"29","Stefon Diggs","MIN","9","13","42","29.2","5.5","30.0","+1.0"
"30","Jamison Crowder","WAS","5","17","56","29.8","5.6","32.0","+2.0"
"31","Willie Snead","NO","5","14","49","31.9","5.0","31.0","0.0"
"32","Brandon Marshall","NYG","8","19","49","33.7","6.5","29.0","-3.0"
"33","Pierre Garcon","SF","11","19","65","34.5","6.5","37.0","+4.0"
"34","DeSean Jackson","TB","11","16","55","34.5","5.8","33.0","-1.0"
"35","Donte Moncrief","IND","11","18","54","35.2","6.5","35.0","0.0"
"36","Devante Parker","MIA","11","21","56","36.3","6.5","38.0","+2.0"
"37","Tyrell Williams","LAC","9","21","55","38.0","6.8","43.0","+6.0"
"38","Jeremy Maclin","BAL","10","23","54","38.3","6.7","39.0","+1.0"
"39","Eric Decker","TEN","8","19","51","38.9","5.7","36.0","-3.0"
"40","Cameron Meredith","CHI","9","26","69","39.7","6.3","40.0","0.0"
"41","Kenny Britt","CLE","9","26","76","42.4","6.3","44.0","+3.0"
"42","Randall Cobb","GB","8","26","62","44.0","5.5","34.0","-8.0"
"43","Jordan Matthews","BUF","6","24","62","44.9","6.6","50.0","+7.0"
"44","Mike Wallace","BAL","10","30","72","45.0","6.2","46.0","+2.0"
"45","Adam Thielen","MIN","9","34","61","46.0","5.0","47.0","+2.0"
"46","Corey Coleman","CLE","9","37","66","47.5","5.0","42.0","-4.0"
"47","John Brown","ARI","8","19","100","48.2","9.4","45.0","-2.0"
"48","Corey Davis","TEN","8","18","93","49.2","10.0","41.0","-7.0"
"49","Rishard Matthews","TEN","8","32","77","48.6","6.8","48.0","-1.0"
"50","Marvin Jones","DET","7","32","79","49.7","6.0","49.0","-1.0"
"51","Ted Ginn","NO","5","40","92","53.4","7.7","52.0","+1.0"
"52","Zay Jones","BUF","6","35","95","56.8","10.5","54.0","+2.0"
"53","Robby Anderson","NYJ","11","41","96","59.6","11.2","58.0","+5.0"
